id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePregameElo,awayId,awayTeam,awayConference,awayClassification,awayPregameElo,highlights,attendance,homePoints,homeLineScores,homePostgameWinProbability,homePostgameElo,awayPoints,awayLineScores,awayPostgameWinProbability,awayPostgameElo,excitementIndex,notes,fetched_at_utc
401767139,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,,2803,Bryant,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767264,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,5389,Kessler Stadium,2405,Monmouth,CAA,fcs,,399,UAlbany,CAA,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767678,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,3656,Brown Stadium,225,Brown,Ivy,fcs,,159,Dartmouth,Ivy,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767708,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,3997,Yale Bowl,43,Yale,Ivy,fcs,,108,Harvard,Ivy,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752778,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,fbs,1794.0,142,Missouri,SEC,fbs,1734.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754606,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,False,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,ACC,fbs,1412.0,48,Delaware,Conference USA,fbs,1386.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767718,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,False,6048,Duane Stadium,2771,Merrimack,FCS Independents,fcs,,2230,Fordham,Patriot,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767591,2025,13,regular,2025-11-22 17:00:00+00:00,False,False,False,True,3597,Alumni Memorial Field,2678,VMI,Southern,fcs,,2717,Western Carolina,Southern,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767738,2025,13,regular,2025-11-22 17:30:00+00:00,False,False,False,True,3721,Fisher Field,322,Lafayette,Patriot,fcs,,2329,Lehigh,Patriot,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752776,2025,13,regular,2025-11-22 17:45:00+00:00,False,False,False,False,3917,Sanford Stadium,61,Georgia,SEC,fbs,2018.0,2429,Charlotte,American Athletic,fbs,1020.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
