id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,fetched_at_utc
401767208,2025,13,,,,,,,,Ernest W. Spangler Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752774,2025,13,,,,,,,,Jordan-Hare Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767215,2025,13,,,,,,,,Houck Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767508,2025,13,,,,,,,,Alerus Center,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767540,2025,13,,,,,,,,UNI-Dome,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767756,2025,13,,,,,,,,Joe Walton Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752773,2025,13,,,,,,,,Bryant-Denny Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767170,2025,13,,,,,,,,Buccaneer Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767178,2025,13,,,,,,,,Rhodes Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767104,2025,13,,,,,,,,Washington-Grizzly Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767291,2025,13,,,,,,,,Braly Municipal Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762867,2025,13,,,,,,,,Glass Bowl,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757306,2025,13,,,,,,,,Fifth Third Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401760419,2025,13,,,,,,,,War Memorial Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401761656,2025,13,,,,,,,,Kidd Brewer Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767475,2025,13,,,,,,,,Husky Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757308,2025,13,,,,,,,,"Johnny ""Red"" Floyd Stadium",,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757307,2025,13,,,,,,,,Joe Aillet Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757175,2025,13,,,,,,,,FAU Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767358,2025,13,,,,,,,,BBVA Compass Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767367,2025,13,,,,,,,,Hornet Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767118,2025,13,,,,,,,,Stewart Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757309,2025,13,,,,,,,,Sun Bowl,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767397,2025,13,,,,,,,,William H. Greene Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401757305,2025,13,,,,,,,,Pitbull Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
