id,season,week,home_team,away_team,season_type
400869053,2016,11,Missouri,Vanderbilt,regular
400869244,2016,11,UNLV,Wyoming,regular
400869560,2016,11,Houston,Tulane,regular
400869693,2016,11,Wisconsin,Illinois,regular
400869842,2016,11,Troy,App State,regular
400869052,2016,11,Georgia,Auburn,regular
400869622,2016,11,Oklahoma State,Texas Tech,regular
400869486,2016,11,Virginia Tech,Georgia Tech,regular
400868919,2016,11,Notre Dame,Army,regular
400869485,2016,11,Clemson,Pittsburgh,regular
400869409,2016,11,Old Dominion,Southern Miss,regular
400869406,2016,11,Louisiana Tech,UTSA,regular
400869408,2016,11,Western Kentucky,North Texas,regular
400869648,2016,11,Maryland,Ohio State,regular
400869846,2016,11,Texas State,Idaho,regular
400869159,2016,11,Oregon,Stanford,regular
400869405,2016,11,Florida Atlantic,UTEP,regular
400869407,2016,11,Marshall,Middle Tennessee,regular
400869050,2016,11,Arkansas,LSU,regular
400869242,2016,11,Hawai'i,Boise State,regular
400869559,2016,11,Memphis,South Florida,regular
400869487,2016,11,Louisville,Wake Forest,regular
400869055,2016,11,Texas A&M,Ole Miss,regular
400869691,2016,11,Nebraska,Minnesota,regular
400869157,2016,11,Washington,USC,regular
400869690,2016,11,Iowa,Michigan,regular
400869158,2016,11,UCLA,Oregon State,regular
400869156,2016,11,Arizona,Colorado,regular
400869243,2016,11,Utah State,New Mexico,regular
400869241,2016,11,Air Force,Colorado State,regular
400869245,2016,11,Nevada,San Diego State,regular
400869160,2016,11,Washington State,California,regular
400869331,2016,12,Central Michigan,Ohio,regular
400869330,2016,12,Bowling Green,Kent State,regular
400869332,2016,12,Toledo,Ball State,regular
400869333,2016,12,Eastern Michigan,Northern Illinois,regular
400869562,2016,12,Houston,Louisville,regular
400869847,2016,12,Troy,Arkansas State,regular
400869563,2016,12,Cincinnati,Memphis,regular
400869246,2016,12,Boise State,UNLV,regular
400868920,2016,12,Army,Morgan State,regular
400869649,2016,12,Michigan State,Ohio State,regular
400869698,2016,12,Purdue,Wisconsin,regular
400869623,2016,12,TCU,Oklahoma State,regular
400869065,2016,12,Texas A&M,UTSA,regular
400869697,2016,12,Nebraska,Maryland,regular
400868884,2016,12,Baylor,Kansas State,regular
400869414,2016,12,Rice,UTEP,regular
400869694,2016,12,Illinois,Iowa,regular
400869059,2016,12,Georgia,Louisiana,regular
400869494,2016,12,Georgia Tech,Virginia,regular
400869495,2016,12,NC State,Miami,regular
400869490,2016,12,Boston College,UConn,regular
400922862,2016,12,LSU,Florida,regular
400868932,2016,12,BYU,Massachusetts,regular
400869849,2016,12,Georgia State,Georgia Southern,regular
400869410,2016,12,Charlotte,Middle Tennessee,regular
400869165,2016,12,Utah,Oregon,regular
400869848,2016,12,App State,UL Monroe,regular
400869492,2016,12,Pittsburgh,Duke,regular
400869695,2016,12,Michigan,Indiana,regular
400869064,2016,12,Tennessee,Missouri,regular
400869334,2016,12,Western Michigan,Buffalo,regular
400869696,2016,12,Minnesota,Northwestern,regular
400869595,2016,12,Iowa State,Texas Tech,regular
400869566,2016,12,Tulane,Temple,regular
400869493,2016,12,Syracuse,Florida State,regular
