id,start_date,season,season_type,week,neutral_site,home_team,home_conference,away_team,away_conference,home_elo,away_elo,home_talent,away_talent,home_points,away_points,margin,spread,game_key,conference_game,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401752797,2025-08-30 16:00:00,2025,regular,1,False,Maryland,B1G,Florida Atlantic,AAC,1438.0,1311.0,580.9671199601936,546.5794889820379,0,0,0,0.0,2025_1_Maryland_Florida_Atlantic,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752801,2025-08-30 16:00:00,2025,regular,1,False,Purdue,B1G,Ball State,MAC,1207.0,1224.0,403.17347086512586,440.0307374023406,0,0,0,0.0,2025_1_Purdue_Ball_State,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752803,2025-08-30 16:00:00,2025,regular,1,False,Tulane,AAC,Northwestern,B1G,1616.0,1431.0,200.0,326.95586199645084,0,0,0,0.0,2025_1_Tulane_Northwestern,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752670,2025-08-30 16:45:00,2025,regular,1,False,Kentucky,SEC,Toledo,MAC,1498.0,1454.0,623.5709089414247,529.1811649097659,0,0,0,0.0,2025_1_Kentucky_Toledo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752806,2025-08-30 18:30:00,2025,regular,1,False,Indiana,B1G,Old Dominion,SBC,1800.0,1480.0,940.958063279932,594.5307696169405,0,0,0,0.0,2025_1_Indiana_Old_Dominion,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752665,2025-08-30 19:30:00,2025,regular,1,False,Florida State,ACC,Alabama,SEC,1408.0,1824.0,792.1865104670695,795.127012180204,0,0,0,0.0,2025_1_Florida_State_Alabama,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752669,2025-08-30 19:30:00,2025,regular,1,False,Georgia,SEC,Marshall,SBC,1839.0,1574.0,779.5698837818408,200.0,0,0,0,0.0,2025_1_Georgia_Marshall,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401752807,2025-08-30 19:30:00,2025,regular,1,False,Penn State,B1G,Nevada,MWC,1878.0,1294.0,428.2185347119987,466.0298586400648,0,0,0,0.0,2025_1_Penn_State_Nevada,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401762456,2025-08-30 19:30:00,2025,regular,1,False,Massachusetts,MAC,Temple,AAC,1193.0,1192.0,523.3391842425189,571.3703014012145,0,0,0,0.0,2025_1_Massachusetts_Temple,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401754616,2025-08-30 22:00:00,2025,regular,1,False,Virginia,ACC,Coastal Carolina,SBC,1404.0,1379.0,566.6466098505614,220.21387090602033,0,0,0,0.0,2025_1_Virginia_Coastal_Carolina,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
